match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386621/-,Inferno,Ancient,Dust2
https://www.hltv.org/matches/2386617/-,Inferno,Mirage,Overpass
https://www.hltv.org/matches/2386619/-,Inferno,Dust2,Ancient
https://www.hltv.org/matches/2386622/-,Overpass,Inferno,Nuke
https://www.hltv.org/matches/2386615/-,Nuke,Dust2,Overpass
https://www.hltv.org/matches/2386618/-,Overpass,Nuke,Mirage
https://www.hltv.org/matches/2386620/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386299/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386314/-,Nuke,Ancient,Dust2
https://www.hltv.org/matches/2386586/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386679/-,Train,Mirage,Ancient
https://www.hltv.org/matches/2386589/-,Dust2,Ancient,Train
https://www.hltv.org/matches/2386592/-,Nuke,Train,Mirage
https://www.hltv.org/matches/2386585/-,Dust2,Nuke,Mirage
https://www.hltv.org/matches/2386588/-,Inferno,Nuke,Mirage
https://www.hltv.org/matches/2386587/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386590/-,Mirage,Nuke,Overpass
https://www.hltv.org/matches/2386591/-,Ancient,Mirage,Inferno
https://www.hltv.org/matches/2386298/-,,,
https://www.hltv.org/matches/2386295/-,Mirage,Dust2,Nuke
https://www.hltv.org/matches/2386294/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386678/-,Inferno,Overpass,Dust2
https://www.hltv.org/matches/2386290/-,Mirage,Dust2,Ancient
https://www.hltv.org/matches/2386291/-,Inferno,Mirage,Dust2
https://www.hltv.org/matches/2386545/-,Mirage,Inferno,Nuke
https://www.hltv.org/matches/2386546/-,Mirage,Nuke,Ancient
https://www.hltv.org/matches/2386539/-,Dust2,Nuke,Mirage
https://www.hltv.org/matches/2386540/-,Inferno,Nuke,Mirage
https://www.hltv.org/matches/2385962/-,Mirage,Train,Dust2
https://www.hltv.org/matches/2386543/-,Nuke,Inferno,Mirage
https://www.hltv.org/matches/2386541/-,Mirage,Train,Ancient
